stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,REGMSCREGREG-15,REGMSCREGREG-15-1,"18,YELLOW",SMSC37433,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KALYAN SUKUMAR KAR (121),,1,1.51,0.406,0.30856,0,,0,0,0,0,650,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX,1,5.5,350,4675,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,0.406,0,1054.34952,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,2,0.02,59500,1190,0,
COMPANY STOCK,OPNBRCLDSCDI-73,OPNBRCLDSCDI-73-1,"18,YELLOW",CBRC31355,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUVENDU GHOSH (7)-JW,,1,10.75,10.484,7.96784,0,,0,0,0,0,550,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFBELOW 01 CT,31,0.88,59500,52360,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,10.484,0,30237.9528,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,1,0.45,1500,675,0,
COMPANY STOCK,PLNMSRREG1LN-595,PLNMSRREG1LN-595-1,"22,YELLOW",SMSR44258,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,3.925,3.305,3.0406,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,BLBMIXMIXBLACKMIX,178,3.1,50,0.031,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,3.305,0,9223.67358,0,
COMPANY STOCK,PLNMSRREG1LN-748,PLNMSRREG1LN-748-1,"22,YELLOW",CMSR49766,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,3.98,3.37,3.1004,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,3.37,0,9530.73482,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,BLBMIXMIXBLACKMIX,182,3.05,50,0.0305,0,
COMPANY STOCK,KSUNECREGREG-137,KSUNECREGREG-137-1,"22,YELLOW",SNEC40988,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,51.645,51.645,47.5134,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,51.645,0,160615.95,0,
COMPANY STOCK,UPCERNHNGREG-989,UPCERNHNGREG-989-1,"22,YELLOW",SERN51873,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,INDERALAL BALMUKAND,,1,10.18,9.216,8.47872,0,,0,0,0,0,350,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,10,0.22,18000,2420,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,6,3.5,350,875,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,9.216,0,30412.8,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,4,1.1,1500,1045,0,
COMPANY STOCK,TMCACSKUMREG-76,TMCACSKUMREG-76-1,"22,YELLOW",SACS37816,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Shree Jee Jewellers,Shree Jee Jewellers,1,42.44,41.662,38.32904,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,41.662,0,0,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,8,1.61,1500,0,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RUBMIXMIXREDMIX,8,2.28,1500,0,0,
COMPANY STOCK,TMCERNSTDREG-449,TMCERNSTDREG-449-1,"22,YELLOW",SERN39445,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,7.5,7.44,6.8448,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,7.44,0,23138.4,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,2,0.3,1500,255,0,
COMPANY STOCK,MCNBNGS02REG-859,MCNBNGS02REG-859-1,"22,YELLOW",SBNG49948,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,M/s.SRI SAINATH JEWELLERS,,1,18.66,18.66,17.1672,0,,0,0,0,0,0,10
