stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIAMAQVVS-VSIJ0.000 TO 0.056 (I),Diamond,Marquise,VVS-VS,IJ,0.000 TO 0.056 (I),72000,108000
DIAPEAVVS-VSIJ0.13 TO 0.179,Diamond,Pear,VVS-VS,IJ,0.13 TO 0.179,72000,108000
DIAPRIVVSFGH0.13 TO 0.179,Diamond,Princess,VVS,FGH,0.13 TO 0.179,72000,108000
DIAFANVVSFGH0.18 TO 0.229,Diamond,,VVS,FGH,0.18 TO 0.229,72000,108000
DIAFANVVSFGH0.13 TO 0.179,Diamond,,VVS,FGH,0.13 TO 0.179,72000,108000
DIARNDVSFGH0.085 TO 0.129,Diamond,Round,VS,FGH,0.085 TO 0.129,72000,108000
DIAMAQVVSFGH0.000 TO 0.056 (I),Diamond,Marquise,VVS,FGH,0.000 TO 0.056 (I),72000,108000
DIAPEAVVS-VSFGH0.085 TO 0.129,Diamond,Pear,VVS-VS,FGH,0.085 TO 0.129,72000,108000
DIAPRIVVS-VSIJ0.000 TO 0.056 (I),Diamond,Princess,VVS-VS,IJ,0.000 TO 0.056 (I),72000,108000
DIAPEAVVSFGH0.085 TO 0.129,Diamond,Pear,VVS,FGH,0.085 TO 0.129,72000,108000
DIAPRIVVSFGH0.18 TO 0.229,Diamond,Princess,VVS,FGH,0.18 TO 0.229,72000,108000
DIAMAQVSFGH0.085 TO 0.129,Diamond,Marquise,VS,FGH,0.085 TO 0.129,72000,108000
DIAPEAVSFGH0.18 TO 0.229,Diamond,Pear,VS,FGH,0.18 TO 0.229,72000,108000
DIAPRIVS-SIFGH0.18 TO 0.229,Diamond,Princess,VS-SI,FGH,0.18 TO 0.229,72000,108000
DIAPEAVS-SIIJ0.13 TO 0.179,Diamond,Pear,VS-SI,IJ,0.13 TO 0.179,72000,108000
DIAFANVVSFGH0.000 TO 0.056 (I),Diamond,,VVS,FGH,0.000 TO 0.056 (I),72000,108000
DIAFANVVSFGH0.085 TO 0.129,Diamond,,VVS,FGH,0.085 TO 0.129,72000,108000
DIAMAQVVS-VSFGH0.085 TO 0.129,Diamond,Marquise,VVS-VS,FGH,0.085 TO 0.129,72000,108000
DIAPEAVVS-VSIJ0.18 TO 0.229,Diamond,Pear,VVS-VS,IJ,0.18 TO 0.229,72000,108000
DIAPRIVVS-VSFGH0.23 TO 0.29,Diamond,Princess,VVS-VS,FGH,0.23 TO 0.29,72000,108000
DIAPRIVS-SIFGH0.085 TO 0.129,Diamond,Princess,VS-SI,FGH,0.085 TO 0.129,72000,108000
DIAFANVSFGH0.085 TO 0.129,Diamond,,VS,FGH,0.085 TO 0.129,72000,108000
DIAPEAVVSFGH0.13 TO 0.179,Diamond,Pear,VVS,FGH,0.13 TO 0.179,72000,108000
DIAPEAVVS-VSGH0.085 TO 0.129,Diamond,Pear,VVS-VS,GH,0.085 TO 0.129,72000,108000
DIAFANVVS-VSFGH0.18 TO 0.229,Diamond,,VVS-VS,FGH,0.18 TO 0.229,72000,108000
DIAPEAVS-SIFGH0.13 TO 0.179,Diamond,Pear,VS-SI,FGH,0.13 TO 0.179,72000,108000
SLTPRIVVS-VSGH 0.70 TO 0.99 ,Solitaire_Diamond,Princess,VVS-VS,GH, 0.70 TO 0.99 ,150000,225000
FMRMAQVSGH0.085 TO 0.125,Forevermark,Marquise,VS,GH,0.085 TO 0.125,90000,135000
SLTRNDMIXMIX0.70 TO 0.99,Solitaire_Diamond,Round,,,0.70 TO 0.99,150000,225000
SLTRNDMIXMIX0.40 TO 0.49,Solitaire_Diamond,Round,,, 0.40 TO 0.49,150000,225000
SLTRNDMIXMIX0.50 TO 0.69,Solitaire_Diamond,Round,,,0.50 TO 0.69,150000,225000
SLTPRIVVS-VSGH0.40 TO 0.49 (VIII),Solitaire_Diamond,Princess,VVS-VS,GH,0.40 TO 0.49 (VIII),150000,225000
DIAPEAVVS-VSGH0.085 - 0.125(III),Diamond,Pear,VVS-VS,GH,0.085 - 0.125(III),72000,108000
DIAPEAVVS-VSGH0.075 TO 0.080,Diamond,Pear,VVS-VS,GH,0.075 TO 0.080,72000,108000
SLTRNDVVS1EF  0.50 TO 0.69(IX),Solitaire_Diamond,Round,VVS1,EF,  0.50 TO 0.69(IX),150000,225000
DIAROSVVSEF0.000 TO 0.056 (I),Diamond,ROSE CUT,VVS,EF,0.000 TO 0.056 (I),72000,108000
DIABAGVSFGH0.000 TO 0.056,Diamond,Baguette,VS,FGH,0.000 TO 0.056,72000,108000
SLTMUTMIXMIX0.40 TO 0.49,Solitaire_Diamond,,,, 0.40 TO 0.49,150000,225000
SLTMUTMIXMIX0.70 TO 0.99,Solitaire_Diamond,,,,0.70 TO 0.99,150000,225000
SLTMUTMIXMIX0.50 TO 0.69,Solitaire_Diamond,,,,0.50 TO 0.69,150000,225000
DIAMAQVS - SIFG0.075 TO 0.08 (II),Diamond,Marquise,VS-SI,FG,0.075 TO 0.08 (II),72000,108000
DIARNDVS - SIFG0.000 TO 0.056 (I),Diamond,Round,VS-SI,FG,0.000 TO 0.056 (I),72000,108000
DIAMRQVS - SIFG0.000 TO 0.056 (I),Diamond,Marquise,VS-SI,FG,0.000 TO 0.056 (I),72000,108000
DIAPEAVSFGH0.000 TO 0.056(I),Diamond,Pear,VS,FGH,0.000 TO 0.056(I),72000,108000
SLTRNDVVS-VSGH0.40 TO 0.49,Solitaire_Diamond,Round,VVS-VS,GH, 0.40 TO 0.49,150000,225000
DIAOVLVS-SIIJ0.085 TO 0.125 (III),Diamond,Oval,VS-SI,IJ,0.085 TO 0.125 (III),72000,108000
