stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIARNDVVSEF0.135 TO 0.175(IV),Diamond,Round,VVS,EF,0.135 TO 0.175(IV)," 59,500 "," 65,450 "
DIARNDVVSEF0.085 TO 0.125(III),Diamond,Round,VVS,EF,0.085 TO 0.125(III)," 59,500 "," 65,450 "
MeleRNDVVSEFBELOW 01 CT,Diamond,Round,VVS,EF,BELOW 01 CT," 61,000 "," 67,100 "
ONXMIXMIXMIXMIX,Onyx,-,-,-,-," 1,500 "," 1,650 "
OTHMIXMIXMIXMIX,Misc.,-,-,-,-," 1,500 "," 1,650 "
SLTRNDVVSEF0.40 TO 0.49(VIII),Solitaire Diamond,Round,VVS,EF,0.40 TO 0.49(VIII)," 1,10,000 "," 1,21,000 "
DIARNDVVSEFMIX,Diamond,Round,VVS,EF,-," 61,000 "," 67,100 "
SSPMIXMIXMIXMIX,South Sea Pearl,-,-,-,-, 350 , 385 
