location_name,dept,show_as_instock,customer_friendly_location_name
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ INVENTORY,Yes,TS-HYD-BNJ
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ PRODUCTION,Yes,TS-HYD-BNJ
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ Promotion ,No,
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ SELECTION,Yes,TS-HYD-BNJ
PMJ&GEMS-B-C-BANJARA HILLS-HO,BUFFER-STOCK,Yes,TS-HYD
Bhimavaram Mobile Marketing,Bhimavaram HNI,No,
Bangalore Mobile Marketing,D2H BANGALORE,Yes,KA-BLR
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,D2H HIMAYATNAGAR,Yes,TS-HYD-HMT
