location_name,dept,show_as_instock,customer_friendly_location_name
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ Promotion ,Yes,TS_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BHSHW SAMPLES,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,Diamond Jewellery Counter,Yes,TS_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,Yes,TS_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ SELECTION,No,Seletion
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,D2H HIMAYATNAGAR,Yes,TS_HMR
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,Yes,TS_HMR
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,Himayatnagar Promotion,Yes,D2H_TS
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,SELECTION HMI,No,Seletion
PMJ&GEMS-B-C-HNI-SHOWROOM,FINISHED GOODS-HNISHW,Yes,TS_HNI
PMJ&GEMS-B-C-HNI-SHOWROOM,HNI EXHIBITION,Yes,EXHI_HNI_TS
PMJ&GEMS-B-C-HNI-SHOWROOM,HNI SELECTION,No,Seletion
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,LMGDM,No,Backend
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,JOB  WORK MUM,No,Backend
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,MELTING MUM,No,Backend
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,FG-MUMFG,No,Backend
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,SEMI GHAT FG,No,Backend
PMJ&GEMS-B-C-SHALIBANDA,FG-SHAALIB,No,Shah Ali bhanda
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW SELECTION,No,Seletion
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,D2H VIJAYAWADA,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,FG-VIJSHW,Yes,AP_VJW
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,HNI-VIJAYAWADA,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW PRODUCTION,Yes,AP_VJW
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW PROMOTION,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW RAW MATERIAL,No,Backend
PMJ&GEMS-B-C-Vizag-SHOWROOM,VTZ SELECTION,No,Seletion
PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,Yes,AP_VTZ
PMJ&GEMS-B-C-Vizag-SHOWROOM,HNI VIZAG,Yes,D2H_AP
PMJ&GEMS-B-C-Vizag-SHOWROOM,VTZ PRODUCTION,Yes,AP_VJW
PMJ&GEMS-B-C-Vizag-SHOWROOM,VTZ PROMOTION,Yes,AP_VJW
Rajahmundry Mobile Marketing,FINISHED GOODS-APRMM,Yes,D2H_AP
Rajahmundry Mobile Marketing,Rajahmundry HNI,Yes,D2H_AP
Salem Mobile Marketing,FINISHED GOODS-TNSMM,Yes,D2H_TN
Srikakulam Mobile Marketing,FINISHED GOODS-SKKLMM,Yes,D2H_AP
Tamil Nadu Mobile Marketing,EXHIBITION TN,Yes,EXHI_TN
Tamil Nadu Mobile Marketing,FINISHED GOODS-TNMM,Yes,D2H_TN
Tamil Nadu Mobile Marketing,KANCHIPURAM,Yes,D2H_TN
Tamil Nadu Mobile Marketing,TIRUCHIRAPALLI,Yes,D2H_TN
Tamil Nadu Mobile Marketing,TNTIRPUR,Yes,D2H_TN
Tirunelveli Mobile Marketing,FINISHED GOODS-TNVLMM,Yes,D2H_TN
Tirupathi Mobile Marketing,FINISHED GOODS-APTMM,Yes,D2H_AP
Tiruppur Mobile Marketing,TRPUR-FINISH GOODS,Yes,D2H_TN
Vellore Mobile Marketing,FINISHED GOODS-VLRMM,Yes,D2H_TN
Vizag Mobile Marketing,D2H VIZAG,Yes,D2H_AP
Vizag Mobile Marketing,FINISHED GOODS-APVMM,Yes,D2H_AP
Vizag Mobile Marketing zone 1,FINISHED GOODS-APVMMZ1,Yes,D2H_AP
Vizianagaram Mobile Marketing,FINISHED GOODS-VJGRMM,Yes,D2H_AP
Warangal Mobile Marketing,FINISHED GOODS-TLWMM,Yes,D2H_TS
PMJ&GEMS-B-C-BANJARA HILLS-HO,OLD GOLD,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,MISCELLANEOUS,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,INWARD,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,Order Sample / Stock Sample,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,NSP sales counter,No,AP_NSP
PMJ&GEMS-B-C-BANJARA HILLS-HO,PGS Stock Repair,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,FG PURCHASE,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,DIA STOCK REPAIR,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,SWBCHN,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,TEST-TEMP,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,HallMarking,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,JOB WORK-BHSHW,No,Backend
PMJ&GEMS-B-C-BANGALORE-SHOWROOM,BLR-PRODUCTION,No,KA_BLR
Hubli Mobile Marketing,FG-HBLI,Yes,D2H_KA
Eluru Mobile Marketing II,FINISHED GOODS-EMMII,No,Backend
PMJ&GEMS-B-C-BANJARA HILLS-HO,OLD-GOLD-LABELING,No,Backend
Hubli Mobile Marketing,FINISH GOODS HBLI,Yes,D2H_KA
