stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat,
27337,FMRSLTVVSEF0.50 TO 0.69,Solitaire Diamond,Mix,VVS,EF,0.50 TO 0.69,0,0
27338,SLTBAGVVSEF0.30 TO 0.39 (VII),Solitaire Diamond,Baguette,VVS,EF,0.30 TO 0.39 (VII),0,0
27339,SLTFANVS  SIFG0.50 TO 0.69 (IX),Solitaire Diamond,Fancy,VS_SI,FG,0.50 TO 0.69 (IX),0,0
27340,SLTFANVS-SIG0.30 TO 0.39 (VII),Solitaire Diamond,Fancy,VS_SI,G,0.30 TO 0.39 (VII),0,0
27341,SLTFANVS-SIG0.70 TO 0.99,Solitaire Diamond,Fancy,VS_SI,G,0.70 TO 0.99,0,0
27342,SLTFANVS-SIG1.00 ABOVE,Solitaire Diamond,Fancy,VS_SI,G,1.00 ABOVE,0,0
27343,SLTFANVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Fancy,VVS_VS,GH,0.30 TO 0.39,0,0
27344,SLTFANVVS-VSGH0.40 TO 0.49,Solitaire Diamond,Fancy,VVS_VS,GH,0.40 TO 0.49,0,0
27345,SLTFANVVS-VSGH0.50 TO 0.69,Solitaire Diamond,Fancy,VVS_VS,GH,0.50 TO 0.69,0,0
27346,SLTFANVVS-VSGH0.70 TO 0.99,Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99,0,0
27347,SLTFANVVS-VSGHI0.70 TO 0.99,Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99,0,0
27348,SLTFANVVS-VSGHI0.70 TO 0.99(X),Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99(X),0,0
27349,SLTFMRVS1F0.50 to 0.69 (IX),Forevermark Solitaire,Mix,VS1,F,0.50 to 0.69 (IX),0,0
27350,SLTFMRVVS1E0.40 to 0.49 (VIII),Forevermark Solitaire,Mix,VVS1,E,0.40 TO 0.49 (VIII),0,0
27351,SLTFMRVVS1E0.50 to 0.69 (IX),Forevermark Solitaire,Mix,VVS 1 ,E,0.50 TO 0.69 (IX),0,0
27352,SLTFMRVVS1G1.00 TO 1.49,Forevermark Solitaire,Mix,VVS1,G,1.00 TO 1.49,0,0
27353,SLTFMRVVSEF0.30 TO 0.39(VII),Forevermark Solitaire,Mix,VVS,EF,0.30 TO 0.39(VII),0,0
27354,SLTFNYMIXMIX  0.70 TO 0.99(X),Solitaire Diamond,Fancy,Mix,Mix,  0.70 TO 0.99(X),0,0
27355,SLTFNYVVSGH  0.30 TO 0.39(VII),Solitaire Diamond,Fancy,VVS,GH,  0.30 TO 0.39(VII),0,0
27356,SLTFNYVVSGH  0.40 TO 0.49(VIII),Solitaire Diamond,Fancy,VVS,GH,  0.40 TO 0.49(VIII),0,0
27357,SLTMAQVVSEF0.30 TO 0.39,Solitaire Diamond,Marquise,VVS,EF,0.30 TO 0.39,0,0
27358,SLTMAQVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Marquise,VVS_VS,GH,0.30 TO 0.39,0,0
27359,SLTMAQVVS-VSGHI0.30 TO 0.39,Solitaire Diamond,Marquise,VVS_VS,GH,0.30 TO 0.39,0,0
27360,SLTMAQVVS-VSGHI0.40 TO 0.49,Solitaire Diamond,Marquise,VVS_VS,GH,0.40 TO 0.49,0,0
27361,SLTMRQVVS-VSGH0.75 TO 0.80,Solitaire Diamond,Marquise,VVS_VS,GH,0.75 TO 0.80,0,0
27362,SLTPEAVS - SIIJ0.30 TO 0.39 (VII),Solitaire Diamond,Pear,VS_SI,IJ,0.30 TO 0.39 (VII),0,0
27363,SLTPEAVS-SIFGH0.30 TO 0.39,Solitaire Diamond,Pear,VS_SI,FGH,0.30 TO 0.39,0,0
27364,SLTPEAVS-SIFGH0.30 TO 0.39(VII),Solitaire Diamond,Pear,VS_SI,FGH,0.30 TO 0.39 (VII),0,0
27365,SLTPEAVS-SIIJ0.30 TO 0.39,Solitaire Diamond,Pear,VS_SI,IJ,0.30 TO 0.39,0,0
27366,SLTPEAVVS - VSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS_VS,GH,0.30 TO 0.39,0,0
27367,SLTPEAVVS - VSGH0.50 TO 0.69,Solitaire Diamond,Pear,VVS_VS,GH,0.50 TO 0.69,0,0
27368,SLTPEAVVS - VSGH0.70 TO 0.99,Solitaire Diamond,Pear,VVS_VS,GH,0.70 TO 0.99,0,0
27369,SLTPEAVVSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS,GH,0.30 TO 0.39,0,0
27370,SLTPEAVVSGH0.40 TO 0.49,Solitaire Diamond,Pear,VVS,GH,0.40 TO 0.49,0,0
27371,SLTPEAVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS_VS,GH,0.30 TO 0.39,0,0
27372,SLTPEAVVS-VSGH0.40 TO 0.49,Solitaire Diamond,Pear,VVS_VS,GH,0.40 TO 0.49,0,0
27373,SLTPEAVVS-VSGH0.50 TO 0.69,Solitaire Diamond,Pear,VVS_VS,GH,0.50 TO 0.69,0,0
27374,SLTPRIVVS-VSGH 0.70 TO 0.99,Solitaire Diamond,Princess,VVS_VS,GH,0.70 TO 0.99,0,0
27375,SLTPRIVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Princess,VVS_VS,GH,0.30 TO 0.39,0,0
27376,SLTPRIVVS-VSGH0.30 TO 0.39 (VII),Solitaire Diamond,Princess,VVS_VS,GH,0.30 TO 0.39 (VII),0,0
