stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat,
28284,DIAMAQVS-SIIJ0.18 TO 0.22,Diamond,Marquise,VS_SI,IJ,0.18 TO 0.22,62000,68200
28285,DIAPEAVS  SIIJ  0.18 TO 0.22 (V),Diamond,Pear,VS  SI,IJ,  0.18 TO 0.22 (V),62000,68200
28286,DIAPRIVVSFG0.000 TO 0.056,Diamond,Princess,VVS,FG,0.000 TO 0.056,62000,68200
28287,DIAMAQVSEF0.18 TO 0.22 (V),Diamond,Marquise,VS,EF,0.18 TO 0.22 (V),62000,68200
28288,DIAMAQVVSGH0.000 TO 0.056,Diamond,Marquise,VVS,GH,0.000 TO 0.056,60000,66000
28289,DIAPEAVS - SIIJ  0.18 TO 0.22 (V),Diamond,Pear,VS_SI,IJ,0.18 TO 0.22 (V),62000,68200
28290,DIAMAQVVS-VSFGH0.075 to 0.084,Diamond,Marquise,VVS_VS,FGH,0.075 TO 0.084,62000,68200
28291,DIAFANVS-SIIJ0.085 TO 0.125(III),Diamond,Fancy,VS_SI,IJ,0.085 TO 0.125(III),63000,69300
28292,DIAPEAVSGH0.13 TO 0.175,Diamond,Pear,VS,GH,0.13 TO 0.175,94000,103400
28293,DIAPEAVS-SIIJ0.18 TO 0.22,Diamond,Pear,VS_SI,IJ,0.18 TO 0.22,54000,59400
28294,DIAFANVSFG0.085 to 0.125,Diamond,Fancy,VS,FG,0.085 to 0.125,64000,70400
28295,DIAFANVS-SIIJ0.18 TO 0.22 (V),Diamond,Fancy,VS_SI,IJ,0.18 TO 0.22 (V),54000,59400
28296,DIAFANVVSEF0.085 TO 0.125 (LLL),Diamond,Fancy,VVS,EF,0.085 TO 0.125 (LLL),64000,70400
28297,DIAPEAVVSEF0.075 TO 0.080,Diamond,Pear,VVS,EF,0.075 TO 0.080,64000,70400
28298,DIAPEAVVS-VSGH0.085 TO 0.125(III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125(III),64000,70400
28299,DIAFANVVSEF0.135 TO 0.175(IV),Diamond,Fancy,VVS,EF,0.135 TO 0.175(IV),55500,61050
28300,DIAFANVVS-VSGH0.085 TO 0.125,Diamond,Fancy,VVS_VS,GH,0.085 TO 0.125,70000,77000
28301,DIAFNYVS  SIIJ0.180 TO 0.220 (V),Diamond,Fancy,VS  SI,IJ,0.180 TO 0.220 (V),64000,70400
28302,DIAMAQMIXEF0.13 TO 0.175 (IV),Diamond,Marquise,Mix,EF,0.13 TO 0.175 (IV),64000,70400
28303,DIAMAQVVS-VSGHI0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,GH,0.13 TO 0.175 (IV),64000,70400
28304,DIAMAQVSEF0.075 TO 0.08 (II),Diamond,Marquise,VS,EF,0.075 TO 0.08 (II),64000,70400
28305,DIARNDVVSGH  0.075 TO 0.08(II),Diamond,Round,VVS,GH,  0.075 TO 0.08(II),64000,70400
28306,DIAPRIVSEF0.13 TO 0.175 (IV),Diamond,Princess,VS,EF,0.13 TO 0.175 (IV),64000,70400
28307,DIAMAQVVS-VSFGH0.000 to 0.056 (I),Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056,64000,70400
28308,DIAMAQVSEFMIX,Diamond,Marquise,VS,EF,Mix,64000,70400
28309,DIAPEAVVS-VSGH0.085 TO 0.134 (III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.134 (III),64000,70400
28310,DIAPEAVS-SIIJ0.18 TO 0.229,Diamond,Pear,VS_SI,IJ,0.18 TO 0.229,64000,70400
28311,DIAFANVS  SIIJ0.18 TO 0.22,Diamond,Fancy,VS,IJ,0.18 TO 0.22,64000,70400
28312,DIAFANVS-SIIJ0.18 TO 0.22,Diamond,Fancy,VS_SI,IJ,0.18 TO 0.22,64000,70400
28313,DIAFANVVS - VSFGMIX,Diamond,Fancy,VVS_VS,FG,Mix,64000,70400
28314,DIAFANVVS-VSFGH0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FG,0.000 TO 0.056,64000,70400
28315,DIAFANVVS-VSFGMIX,Diamond,Fancy,VVS_VS,FG,Mix,64000,70400
28316,DIAFANVVS-VSIJ0.000 to 0.056 (I),Diamond,Fancy,VVS_VS,IJ,0.000 TO 0.056,64000,70400
28317,DIAFNYVVS-VSFGH0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FG,0.000 TO 0.056,64000,70400
28318,DIAMAQVVS-VSFG0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,FG,0.13 TO 0.175 (IV),64000,70400
28319,DIAMRQVVS - VSFG0.085 TO 0.125,Diamond,Marquise,VVS_VS,FG,0.085 TO 0.125,64000,70400
28320,DIAMRQVVS - VSHI0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,HI,0.085 TO 0.125 (III),64000,70400
28321,DIAPEAVS-SIFGH  0.085 TO 0.125(III),Diamond,Pear,VS_SI,FGH,0.085 TO 0.125(III),64000,70400
28322,DIAPEAVVS-VSGH0.085 - 0.125(III),Diamond,Pear,VVS_VS,GH,0.085 _ 0.125(III),64000,70400
28323,DIAPRIVSFGH0.135 TO 0.175 (IV),Diamond,Princess,VS,FGH,0.135 TO 0.175 (IV),64000,70400
28324,DIAPRIVS-SIFGH0.18 TO 0.22 (V),Diamond,Princess,VS_SI,FGH,0.18 TO 0.22 (V),64000,70400
28325,DIAPRIVVS-VSFG0.13 TO 0.175(IV),Diamond,Princess,VVS_VS,FG,0.13 TO 0.175(IV),64000,70400
28326,DIARNDVS-SIFGH  0.075 TO 0.080(II),Diamond,Round,VS_SI,FGH,0.075 TO 0.08,64000,70400
28327,DIAPEAVS-SIFGH0.085 TO 0.125 (III),Diamond,Pear,VS_SI,FGH,0.085 TO 0.125 (III),64000,70400
28328,DIAMAQVVS - VSEF0.075 TO 0.08 (II),Diamond,Marquise,VVS_VS,EF,0.075 TO 0.08 (II),64000,70400
28329,DIAPRIVVSEF0.13 TO 0.175 (IV),Diamond,Princess,VVS,EF,0.13 TO 0.175 (IV),64000,70400
28330,DIAMRQVVS - VSFGH0.000 TO 0.056 (I),Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056,64000,70400
28331,DIAPEAVSEF02.01-3CT,Diamond,Pear,VS,EF,02.01_3CT,64000,70400
28332,DIAPRIVVSFGH0.13 TO 0.175,Diamond,Princess,VVS,FGH,0.13 TO 0.175,64000,70400
28333,DIARNDVS-SIFGH0.135 TO 0.175 (IV),Diamond,Round,VS_SI,FGH,0.135 to 0.175 (IV),64000,70400
28334,DIAOVLVS  SIFGH0.085 TO 0.125 (III),Diamond,Ovel,VS_SI,FGH,0.085 TO 0.125 (III),64000,70400
28335,DIAFANVVS - VSEF0.085 TO 0.125 (LLL),Diamond,Fancy,VVS_VS,Mix,0.085 TO 0.125,64000,70400
28336,DIAPEAVS-SIFGH0.075 TO 0.08,Diamond,Pear,VS_SI,FGH,0.075 TO 0.08,64000,70400
28337,DIAMAQVS  SIFGH0.075 TO 0.08 (II),Diamond,Marquise,VS_SI,FGH,0.075 TO 0.08 (II),64000,70400
28338,DIAPEAVSFGH0.085 TO 0.125(III),Diamond,Pear,VS,FGH,0.085 TO 0.125(III),68000,74800
28339,DIAPEAVS-SIFGH0.075 to 0.084,Diamond,Pear,VS_SI,FGH,0.075 TO 0.08,64000,70400
28340,DIAPEAVS-SIFGH0.085 TO 0.125,Diamond,Pear,VS_SI,FGH,0.085 TO 0.125,64000,70400
28341,DIAPEAVVS - VSGH0.085 TO 0.125(III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125(III),64000,70400
28342,DIAPEAVVS-VSFGH0.085 TO 0.125 (III),Diamond,Pear,VVS_VS,FG,0.085 TO 0.125 (III),68000,74800
28343,DIAPEAVVS-VSHI0.13 TO 0.175,Diamond,Pear,VVS_VS,HI,0.13 TO 0.175,68000,74800
28344,DIAFANVS-SIFGH0.085 TO 0.125,Diamond,Fancy,VS_SI,FGH,0.085 TO 0.125,64000,70400
28345,DIAMAQVSEF0.13 TO 0.175 (IV),Diamond,Marquise,VS,EF,0.13 TO 0.175 (IV),74000,81400
28346,DIAPEAVVS - VSEF0.085 TO 0.125(III),Diamond,Pear,VVS_VS,EF,0.085 TO 0.125(III),56000,61600
28347,DIAPRIVVS - VSEF0.085 TO 0.125 (III),Diamond,Princess,VVS_VS,EF,0.085 TO 0.125 (III),64000,70400
28348,DIAMAQVVS-VSGH0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,GH,0.13 TO 0.175 (IV),64000,70400
28349,DIAFANVVSEFMIX,Diamond,Fancy,VVS,EF,Mix,58000,63800
28350,DIAPEAVSHI0.085 TO 0.129,Diamond,Pear,VS,HI,0.085 TO 0.129,64000,70400
28351,DIAPEAVS-SIFGH0.085 TO 0.129,Diamond,Pear,VS_SI,FGH,0.085 TO 0.129,64000,70400
28352,DIARNDVVSEF0.075 TO 0.080(II),Diamond,Round,VVS,EF,0.075 TO 0.080(II),59500,65450
28353,DIAMAQVVS-VSGH0.085 TO 0.125,Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125,65000,71500
28354,DIAPEAVVSEF0.057 TO 0.074,Diamond,Pear,VVS,EF,0.057 TO 0.074,65000,71500
28355,DIAMAQVS-SIHI0.000 TO 0.056 (I),Diamond,Marquise,VS_SI,HI,0.000 TO 0.056,45000,49500
28356,DIARNDVS-SIG0.000 to 0.056 (I),Diamond,Round,VS_SI,G,0.000 TO 0.056,65000,71500
28357,DIAMAQVVS-VSFG0.000 TO 0.056,Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056,65000,71500
28358,DIAFANVSFGH0.085 TO 0.125,Diamond,Fancy,VS,FGH,0.085 to 0.125,58000,63800
28359,DIAMAQVS  SIGH0.075 TO 0.084,Diamond,Marquise,VS_SI,GH,0.075 TO 0.084,65000,71500
28360,DIAMAQVVSEFBELOW01CT,Diamond,Marquise,VVS,EF,BELOW01CT,65000,71500
28361,DIAMUTMIXMIX0.13 TO 0.179,Diamond,Mutual Cut,Mix,Mix,0.13 TO 0.179,65000,71500
28362,DIAPEAVS-SIHI0.000 TO 0.056 (I),Diamond,Pear,VS_SI,HI,0.000 TO 0.056,45000,49500
28363,DIAPEAVVS - VSHI0.085 TO 0.125 (III),Diamond,Pear,VVS_VS,HI,0.085 TO 0.125 (III),65000,71500
28364,DIAPEAVVSEF02.01-3CT,Diamond,Pear,VVS,EF,02.01_3CT,65000,71500
28365,DIAPEAVVS-VSEF0.000 TO 0.056,Diamond,Pear,VVS_VS,EF,0.000 TO 0.056,65000,71500
28366,DIAMAQVVSFG0.000 TO 0.056,Diamond,Marquise,VVS,FG,0.000 TO 0.056,65000,71500
28367,DIARNDFEF02.01 - 3 CT,Diamond,Round,F,EF,02.01 _ 3 CT,59500,65450
28368,DIAMRQVS  SIGH0.085 TO 0.125 (III),Diamond,Marquise,VS_SI,GH,0.085 TO 0.125 (III),65000,71500
28369,DIAPEAVVS-VSHI0.075 TO 0.08,Diamond,Pear,VVS_VS,HI,0.075 TO 0.08,65000,71500
28370,DIAFANVS-SIFGH0.085 TO 0.0134 (III),Diamond,Fancy,VS_SI,FGH,0.085 TO 0.0134 (III),70000,77000
28371,DIAPEAVVS-VSGH0.13 TO 0.175,Diamond,Pear,VVS_VS,GH,0.13 TO 0.175,84000,92400
28372,DIAFANVVS-VSIJ0.13 TO 0.175,Diamond,Fancy,VVS_VS,IJ,0.13 TO 0.175,65000,71500
28373,DIAMAQVVSEF02.01-3CT,Diamond,Marquise,VVS,EF,02.01_3CT,65000,71500
28374,DIAMAQVVS-VSIJ0.13 TO 0.175,Diamond,Marquise,VVS_VS,IJ,0.13 TO 0.175,66000,72600
28375,DIARNDVS  SIIJ0.135 TO 0.175(IV),Diamond,Round,VS_SI,IJ,0.135 TO 0.175(IV),66000,72600
28376,DIAFANVS-SIFGH0.075 TO 0.08,Diamond,Fancy,VS_SI,FGH,0.075 TO 0.08,66000,72600
28377,DIAFMVVSEF0.135 TO 0.0175(IV),Forevermark Diamond,Mix,VVS,EF,0.135 TO 0.0175(IV),90000,99000
28378,DIAMRQVVS - VSGH  0.18 TO 0.22 (V),Diamond,Marquise,VVS_VS,GH,0.18 TO 0.22 (V),67000,73700
28379,DIAPEAVSGH0.18 TO 0.22 (V),Diamond,Pear,VS,GH,0.18 TO 0.22 (V),67000,73700
28380,DIAPEAVVS - VSGH0.18 TO 0.22 (V),Diamond,Pear,VVS_VS,GH,0.18 TO 0.22 (V),67000,73700
28381,DIAROSVSFGH0.075 TO 0.08 (II),Diamond,Rose,VS,FGH,0.075 TO 0.08 (II),45000,49500
28382,DIAMAQVS - SIEF0.085 TO 0.125 (III),Diamond,Marquise,VS_SI,EF,0.085 TO 0.125 (III),68000,74800
28383,DIAPEAVVS-VSIJ0.13 TO 0.175,Diamond,Pear,VVS_VS,IJ,0.13 TO 0.175,68000,74800
28384,DIARoseMIXMIX0.30 TO 0.39,Diamond,Rose,Mix,Mix,0.30 TO 0.39,58000,63800
28385,DIAPEAVSFGH0.085 TO 0.125 (III),Diamond,Pear,VS,FGH,0.085 TO 0.125 (III),68000,74800
28386,DIAPEAVS - SIEF0.18 TO 0.22 (V),Diamond,Pear,VS_SI,EF,0.18 TO 0.22 (V),68000,74800
28387,DIAPEAVVS-VSGH0.13 TO 0.175(IV),Diamond,Pear,VVS_VS,GH,0.13 TO 0.175(IV),64000,70400
28388,DIAMAQVVS-VSGH0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125 (III),64000,70400
28389,DIARNDVS-SIFGH0.085 TO 0.125,Diamond,Round,VS_SI,FGH,0.085 TO 0.125,68000,74800
28390,DIAPEAVVS - VSEF0.075 TO 0.08 (II),Diamond,Pear,VVS_VS,EF,0.075 TO 0.08 (II),68000,74800
28391,DIAPEAVS-SIFGH0.075 to 0.08 (II),Diamond,Pear,VS_SI,FGH,0.075 TO 0.08 (II),68000,74800
28392,DIAFANVVSEF0.135 TO 0.175 (IV),Diamond,Fancy,VVS,EF,0.135 TO 0.175 (IV),68000,74800
28393,DIAPEAVSEF0.085 TO 0.125(III),Diamond,Pear,VS,EF,0.085 TO 0.125(III),68000,74800
28394,DIAPRIVVS-VSGH0.000 TO 0.056 (I),Diamond,Princess,VVS_VS,GH,0.000 TO 0.056,68000,74800
28395,DIAMRQVS - SIFG0.075 TO 0.08,Diamond,Marquise,VS_SI,FG,0.075 TO 0.08,68000,74800
28396,DIAPEAVSGH0.000 TO 0.056 (I),Diamond,Pear,VS,GH,0.000 TO 0.056 (I),58000,63800
28397,DIAPEAVVS-VSFG0.075 TO 0.08 (II),Diamond,Pear,VVS_VS,FG,0.075 TO 0.08 (II),68000,74800
28398,DIAPEAVVS-VSGH0.000 TO 0.056(I),Diamond,Pear,VVS_VS,GH,0.000 TO 0.056,58000,63800
28399,DIARNDVVSFGH0.000 TO 0.056,Diamond,Round,VVS,FGH,0.000 TO 0.056,74000,81400
28400,DIAPEAVVS-VSFGH0.085 TO 0.129,Diamond,Pear,VVS_VS,FG,0.085 TO 0.129,68000,74800
28401,DIAPEAVVS-VSGH0.085 TO 0.125 (III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125 (III),78000,85800
28402,DIAPEAVVS-VSGH0.135 to 0.175 (IV),Diamond,Pear,VVS_VS,GH,0.135 to 0.175 (IV),68000,74800
28403,DIAFANVS-SIFGH0.075 to 0.084,Diamond,Fancy,VS_SI,FGH,0.075 TO 0.084,68000,74800
28404,DIAMAQVSFGH0.135 TO 0.175 (IV),Diamond,Marquise,VS,FGH,0.135 TO 0.175 (IV),68000,74800
28405,DIAMAQVVS - VSEF0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,EF,0.13 TO 0.175 (IV),78000,85800
28406,DIAMAQVVS-VSGH  0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125 (III),68000,74800
28407,DIAMAQVVS-VSHI0.075 TO 0.08,Diamond,Marquise,VVS_VS,HI,0.075 TO 0.08,68000,74800
28408,DIAMRQVS - SIFG0.085 TO 0.125,Diamond,Marquise,VS_SI,FG,0.085 TO 0.125,68000,74800
28409,DIAPEAMIXFG0.075 TO 0.08 (II),Diamond,Pear,Mix,FG,0.075 TO 0.08 (II),68000,74800
28410,DIAPEAMIXFG0.085 TO 0.125(III),Diamond,Pear,Mix,FG,0.085 TO 0.125(III),68000,74800
28411,DIAPEAVS - SIFG0.085 TO 0.125,Diamond,Pear,VS_SI,FG,0.085 TO 0.125,68000,74800
28412,DIAPEAVS  SIIJ  0.23 TO 0.29 (VI),Diamond,Pear,VS_SI,IJ,0.23 TO 0.29 (VI),68000,74800
28413,DIAPEAVSEF0.075 TO 0.08 (II),Diamond,Pear,VS,EF,0.075 TO 0.08 (II),68000,74800
28414,DIAPEAVSFG0.085 TO 0.125(III),Diamond,Pear,VS,FG,0.085 TO 0.125(III),68000,74800
28415,DIAPEAVSFGH  0.085 TO 0.125(III),Diamond,Pear,VS,FGH,  0.085 TO 0.125(III),68000,74800
28416,DIAPEAVSFGH0.075 - 0.084 (II),Diamond,Pear,VS,FGH,0.075 _ 0.084 (II),68000,74800
28417,DIAPEAVSFGH0.075 TO 0.08,Diamond,Pear,VS,FGH,0.075 TO 0.08,68000,74800
28418,DIAPEAVSFGH0.075 TO 0.08 (II),Diamond,Pear,VS,FGH,0.075 TO 0.08 (II),68000,74800
28419,DIAPEAVSFGH0.075 TO 0.084 (II),Diamond,Pear,VS,FGH,0.075 TO 0.084 (II),68000,74800
28420,DIAPEAVSFGH0.075 TO 0.086 (II),Diamond,Pear,VS,FGH,0.075 TO 0.086 (II),68000,74800
28421,DIAPEAVSFGH0.085 - 0.125(III),Diamond,Pear,VS,FGH,0.085 _ 0.125(III),68000,74800
28422,DIAPEAVSGH0.075 - 0.084 (II),Diamond,Pear,VS,GH,0.075 _ 0.084 (II),68000,74800
28423,DIAPEAVSGH0.075 TO 0.08 (II),Diamond,Pear,VS,GH,0.075 TO 0.08 (II),68000,74800
28424,DIAPEAVSGH0.085 TO 0.125 (III),Diamond,Pear,VS,GH,0.085 TO 0.125 (III),68000,74800
28425,DIAPEAVS-SIFGH   0.075 to 0.08 (II),Diamond,Pear,VS_SI,FGH,0.075 TO 0.08 (II),68000,74800
28426,DIAPEAVS-SIIJ0.23 TO 0.29 (VI),Diamond,Pear,VS_SI,IJ,0.23 TO 0.29,68000,74800
28427,DIAPEAVVS - VSGH0.085 TO 0.125 (III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125 (III),68000,74800
28428,DIAPEAVVSMIX0.085 TO 0.125,Diamond,Pear,VVS,Mix,0.085 TO 0.125,68000,74800
28429,DIAPEAVVS-VSFG0.075 TO 0.08,Diamond,Pear,VVS_VS,FG,0.075 TO 0.08,68000,74800
28430,DIAPEAVVS-VSFG0.085 TO 0.125,Diamond,Pear,VVS_VS,FG,0.085 TO 0.125,68000,74800
28431,DIAPEAVVS-VSFG0.085 TO 0.125(III),Diamond,Pear,VVS_VS,FG,0.085 TO 0.125(III),78000,85800
28432,DIAPEAVVS-VSFGH0.075 TO 0.08,Diamond,Pear,VVS_VS,FG,0.075 TO 0.08,68000,74800
28433,DIAPEAVVS-VSFGH0.085 TO 0.125(III),Diamond,Pear,VVS_VS,FG,0.085 TO 0.125(III),68000,74800
28434,DIAPEAVVS-VSGH  0.13 TO 0.175(IV),Diamond,Pear,VVS_VS,GH,0.13 TO 0.175(IV),68000,74800
28435,DIAPRIVS - SIFG0.13 TO 0.175,Diamond,Princess,VS_SI,FG,0.13 TO 0.175,68000,74800
28436,DIAPRIVVS - VSGH0.13 TO 0.179,Diamond,Princess,VVS_VS,GH,0.13 TO 0.179,68000,74800
28437,DIARNDVVS - VSGH  0.085 TO 0.0125(III),Diamond,Round,VVS_VS,GH,0.085 TO 0.0125,68000,74800
28438,DIARNDVVS-VSFGH0.085 TO 0.125(III),Diamond,Round,VVS_VS,FG,0.085 TO 0.125(III),68000,74800
28439,DIARNDVVS-VSFGH0.075 TO 0.08,Diamond,Round,VVS_VS,FG,0.075 TO 0.08,68000,74800
28440,DIAMAQVVS - VSFG0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,FG,0.085 TO 0.125 (III),68000,74800
28441,DIAPEAVSFGH0.075 TO 0.084,Diamond,Pear,VS,FGH,0.075 TO 0.084,68000,74800
28442,DIAPEAVS - SIFG0.075 TO 0.08,Diamond,Pear,VS_SI,FG,0.075 TO 0.08,68000,74800
28443,DIAPEAVVSFG0.000 TO 0.056,Diamond,Pear,VVS,FG,0.000 TO 0.056,68000,74800
28444,DIAPEAVVS-VSFG0.13 TO 0.175,Diamond,Pear,VVS_VS,FG,0.13 TO 0.175,68000,74800
28445,DIAPEAVSFG0.085 TO 0.125,Diamond,Pear,VS,FG,0.085 TO 0.125,68000,74800
28446,DIAPEAVSFGH0.085 TO 0.134 (III),Diamond,Pear,VS,FGH,0.085 TO 0.134 (III),68000,74800
28447,DIAPRIVS-SIIJ0.135 TO 0.175(IV),Diamond,Princess,VS_SI,IJ,0.135 TO 0.175(IV),68000,74800
28448,DIAFNYVSFGH0.085 TO 0.125(III),Diamond,Fancy,VS,FGH,0.085 TO 0.125(III),70000,77000
28449,DIARNDVVS-VSGH0.13 TO 0.175,Diamond,Round,VVS_VS,GH,0.13 TO 0.175,82000,90200
28450,DIAPEAVS  SIFGH0.13 TO 0.175 (IV),Diamond,Pear,VS_SI,GH,0.13 TO 0.175 (IV),68000,74800
28451,DIAPEAVVS - VSGH  0.13 TO 0.175(IV),Diamond,Pear,VVS_VS,GH,0.13 TO 0.175(IV),68000,74800
28452,DIAMAQVVS-VSGH0.13 TO 0.175,Diamond,Marquise,VVS_VS,GH,0.13 TO 0.175,62000,68200
28453,DIAPRIVVSEF0.23 TO 0.29 (VI),Diamond,Princess,VVS,EF,0.23 TO 0.29 (VI),84000,92400
28454,DIABAGVVSEF0.13 TO 0.175 (IV),Diamond,Baguette,VVS,EF,0.13 TO 0.175 (IV),88000,96800
28455,DIAFANVVS-VSFGH0.13 TO 0.175,Diamond,Fancy,VVS_VS,FG,0.13 TO 0.175,88000,96800
28456,DIAMAQVSGH0.13 TO 0.175,Diamond,Marquise,VS,GH,0.13 TO 0.175,68000,74800
28457,DIARNDVSHI0.085 TO 0.129,Diamond,Round,VS,HI,0.085 TO 0.129,68000,74800
28458,DIAPEAVVS-VSFGH0.075 to 0.084,Diamond,Pear,VVS_VS,FG,0.075 TO 0.08,68000,74800
28459,DIAFANVS-SIFGH0.085 TO 0.129,Diamond,Fancy,VS_SI,FGH,0.085 TO 0.129,68000,74800
28460,DIAPEAVSFG0.085 TO 0.125 (III),Diamond,Pear,VS,FG,0.085 TO 0.125 (III),68000,74800
28461,DIAPEAVSFGH0.085 TO 0.129,Diamond,Pear,VS,FGH,0.085 TO 0.129,68000,74800
28462,DIAPEAVSGH  0.085 TO 0.125(III),Diamond,Pear,VS,GH,  0.085 TO 0.125(III),68000,74800
28463,DIARNDVVS-VSGH0.075 TO 0.08,Diamond,Round,VVS_VS,GH,0.075 TO 0.08,68000,74800
28464,DIAPEAVVS - VSFG0.000 TO 0.056 (I),Diamond,Pear,VVS_VS,FG,0.000 TO 0.056,62000,68200
28465,DIAPEAVVSGH0.085 TO 0.125,Diamond,Pear,VVS,GH,0.085 TO 0.125,75000,82500
28466,DIAMAQVVS-VSGH0.085 TO 0.0125,Diamond,Marquise,VVS_VS,GH,0.085 TO 0.0125,64000,70400
28467,DIAFANVSEFBELOW01CT,Diamond,Fancy,VS,EF,BELOW01CT,70000,77000
28468,DIAFANVSFGH0.075 TO 0.08,Diamond,Fancy,VS,FGH,0.075 TO 0.08,70000,77000
28469,DIAFANVSFGH0.075 TO 0.084,Diamond,Fancy,VS,FGH,0.075 TO 0.084,70000,77000
28470,DIAFANVSFGH0.085 TO 0.125 (III),Diamond,Fancy,VS,FGH,0.085 TO 0.125 (III),70000,77000
28471,DIAFANVSGH0.085 TO 0.125 (III),Diamond,Fancy,VS,GH,0.085 TO 0.125 (III),70000,77000
28472,DIAFANVS-SIFGH0.085 TO 0.125 (III),Diamond,Fancy,VS_SI,FGH,0.085 TO 0.125 (III),70000,77000
28473,DIAFNYVVS-VSFGH0.075 TO 0.08,Diamond,Fancy,VVS_VS,FG,0.075 TO 0.08,70000,77000
28474,DIAMAQVS-SIG0.000 to 0.056 (I),Diamond,Marquise,VS_SI,G,0.000 TO 0.056,70000,77000
28475,DIAPEAVVS-VSIJ0.18 TO 0.22,Diamond,Pear,VVS_VS,IJ,0.18 TO 0.22,70000,77000
28476,DIARNDVVS-VSFGH0.085 TO 0.125,Diamond,Round,VVS_VS,FG,0.085 TO 0.125,70000,77000
28477,DIAFNYVVS-VSFGH0.085 to 0.125,Diamond,Fancy,VVS_VS,FG,0.085 TO 0.125,70000,77000
28478,DIAPEAVVS-VSIJ0.23 TO 0.29,Diamond,Pear,VVS_VS,IJ,0.23 TO 0.29,70000,77000
28479,DIAPEAVSFGH0.13 TO 0.175(IV),Diamond,Pear,VS,FGH,0.13 TO 0.175(IV),78000,85800
28480,DIAFANVSFGH0.085 TO 0.129,Diamond,Fancy,VS,FGH,0.085 TO 0.129,70000,77000
28481,DIARNDVSFGH0.085 TO 0.129,Diamond,Round,VS,FGH,0.085 TO 0.129,70000,77000
28482,DIAFNYVSGH0.085 to 0.125,Diamond,Fancy,VS,GH,0.085 to 0.125,70000,77000
28483,DIARNDVSFGH0.13 TO 0.175,Diamond,Round,VS,FGH,0.13 TO 0.175,70000,77000
28484,DIAPEAVVS - VSGH0.085 TO 0.125,Diamond,Pear,VVS_VS,GH,0.085 TO 0.125,71000,78100
28485,DIAPEAIJ-VSIJ0.085 TO 0.125 (III),Diamond,Pear,VS_IJ,IJ,0.085 TO 0.125 (III),54000,59400
28486,DIARNDVSFGH0.085 TO 0.125 (III),Diamond,Round,VS,FGH,0.085 TO 0.125 (III),72000,79200
28487,DIAFANCVVS-VSFG0.075-0.084(II),Diamond,Fancy,VVS_VS,FG,0.075_0.084(II),70000,77000
28488,DIAFANVSFGH0.075 TO 0.08 (II),Diamond,Fancy,VS,FGH,0.075 TO 0.08 (II),72000,79200
28489,DIAFNYVS  SIIJ0.23 TO 0.29,Diamond,Fancy,VS_SI,IJ,0.23 TO 0.29,72000,79200
28490,DIARNDVS-SIFGH0.085 TO 0.129,Diamond,Round,VS_SI,FGH,0.085 TO 0.129,72000,79200
28491,DIAPRIVVS - VSEF0.18 TO 0.22 (V),Diamond,Princess,VVS_VS,Mix,0.18 TO 0.22 (V),72000,79200
28492,DIAMAQVS-SIIJ0.085 TO 0.0134 (III),Diamond,Marquise,VS_SI,IJ,0.085 TO 0.0134 (III),72000,79200
28493,DIABAGVVSEF0.085 TO 0.125 (III),Diamond,Baguette,VVS,EF,0.085 TO 0.125 (III),78000,85800
28494,DIAPEAVS-SIIJ0.30 TO 0.39 (VII),Diamond,Pear,VS_SI,IJ,0.30 TO 0.39 (VII),80500,88550
28495,DIAPEAVS-SIIJ0.135 TO 0.175 (IV),Diamond,Pear,VS_SI,IJ,0.135 to 0.175 (IV),58000,63800
28496,DIAPEAVVSEF0.085 TO 0.125,Diamond,Pear,VVS,EF,0.085 TO 0.125,78000,85800
28497,DIARNDVVS - VSGH0.135 TO 0.175(IV),Diamond,Round,VVS_VS,GH,0.135 TO 0.175(IV),73000,80300
28498,DIAFANVSFGMIX,Diamond,Fancy,VS,FG,Mix,74000,81400
28499,DIAMAQVSFG0.085 TO 0.125(III),Diamond,Marquise,VS,FG,0.085 TO 0.125(III),74000,81400
28500,DIAMAQVS - SIEF0.075 TO 0.08 (II),Diamond,Marquise,VS_SI,EF,0.075 TO 0.08 (II),54000,59400
