stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,20,0.86,69186.04651,31265.3,,
,,,,,,FG-BHSHW,,,,0,0,0,0,502.4222222,AG-22KT-YELLOW,0,8.28,0,29065.905,,
COMPANY STOCK,MALERNHNGREG-52,RESERNHNGMAL-52-1,"22,YELLOW",SERN51833,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,GOLD STRINGS,,1,34.12,15.39,14.1588,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,277.3605718,AG-22KT-YELLOW,0,15.39,0,50787,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,CORMIXMIXORANGEMIX1,34,24.85,60.36217304,2982,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,66,68.8,5.087209302,8256,,
COMPANY STOCK,OPNRNGLDSCDI-151,OPNRNGLDSCDI-151-1,"18,YELLOW",CRNG20984,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,PRASENJIT (03),,1,4.83,4.718,3.58568,0,,0,0,0,0,550,15
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXMIXMIX1,1,0.16,21875,126.72,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF01 CT,1,0.15,586666.6667,9300,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SAPMIXMIXBLUEMIX,1,0.25,14000,62.5,,
,,,,,,FG-BHSHW,,,,0,0,0,0,728.3950827,AG-18-YELLOW,0,4.718,0,12496.0948,,
COMPANY STOCK,ORDORDREGREG-1168,ORDORDREGREG-1168-1,"22,YELLOW",CORD45887,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Singar Santosh R,,1,8.09,7.05,6.486,0,,0,0,0,0,150,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,BLBMIXMIXBLACKMIX,36,5.2,9.615384615,52,,
,,,,,,FG-BHSHW,,,,0,0,0,0,605.472227,AG-22KT-YELLOW,0,7.05,0,19706.90875,,
COMPANY STOCK,VCLPNDREGREG-1208,VCLPNDREGREG-1208-1,"22,YELLOW",CPND47704,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Kundan craft pvt. ltd. (Karigar),,1,21.07,13.53,12.4476,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,1,0.15,146666.6667,1224.15,,
,,,,,,FG-BHSHW,,,,0,0,0,0,315.489963,AG-22KT-YELLOW,0,13.53,0,42564.36525,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,12,1,18000,8161,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PATMIXMIXMIXMIX,1,28.7,3.484320557,10045,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,28,1.75,257.1428571,299.25,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,1,2.05,1658.536585,5330,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,10,4.05,740.7407407,6480,,
COMPANY STOCK,MCNACSBCNREG-485,MCNACSBCNREG-485-1,"22,YELLOW",SACS37589,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,IN HOUSE,,1,1.03,1.03,0.9476,0,,0,0,0,0,0,18
,,,,,,FG-BHSHW,,,,0,0,0,0,4144.25165,AG-22KT-YELLOW,0,1.03,0,3277.46,,
COMPANY STOCK,CBTCHNREGREG-669,CBTCHNREGREG-669-1,"22,YELLOW",SCHN37019,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,MACALUCKSHMI JEWELLERS,,1,37.948,37.948,34.91216,0,,0,0,0,0,0,14
,,,,,,FG-BHSHW,,,,0,0,0,0,108.6719089,AG-22KT-YELLOW,0,37.948,0,119381.5619,,
COMPANY STOCK,ITLCHNREGREG-562,ITLCHNREGREG-562-1,"18,YELLOW",SCHN26165,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,BIMAL,,1,36.96,36.96,28.0896,0,,0,0,0,0,150,27
,,,,,,FG-BHSHW,,,,0,0,0,0,102.6830736,AG-18-YELLOW,0,36.96,0,103488,,
COMPANY STOCK,OPNMATHNGPNT-3102,OPNMATHNGPNT-3102-1,"18,YELLOW",SMAT36938,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ARIHA DIAMOND JEWELLERY PVT LTD.,,1,12.12,9.896,7.52096,0,,0,0,0,0,650,15
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIAMAQVVSEFMIX,8,0.38,156578.9474,19380,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,2,1.42,1056.338028,355,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMX,2,1.57,955.4140127,392.5,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,2,1.03,1456.31068,360.5,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,PRLMIXBMIXMIX,2,6.26,39.93610224,1095.5,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,90,0.46,129347.8261,19320,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,347.2683913,AG-18-YELLOW,0,9.896,0,22909.24,,
