stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIAMAQVVS - VSEF0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,EF,0.085 TO 0.125 (III),74000,81400
DIAPEAVS  SIIJ0.13 TO 0.175(IV),Diamond,Pear,VS  SI,IJ,0.13 TO 0.175(IV),60000,66000
DIAPRIVVSEF0.085 TO 0.125 (III),Diamond,Princess,VVS,EF,0.085 TO 0.125 (III),60000,66000
DIAPEAVVS-VSGH0.000 TO 0.056,Diamond,Pear,VVS_VS,GH,0.000 TO 0.056,50000,55000
DIAFANVS-SIIJ0.075 TO 0.08,Diamond,Fancy,VS_SI,IJ,0.075 TO 0.08,58000,63800
DIAMRQVS - SIFG0.000 TO 0.056,Diamond,Marquise,VS_SI,FG,0.000 TO 0.056,58000,63800
DIAFANVS  SIIJ0.13 TO 0.179,Diamond,Fancy,VS_SI,IJ,0.13 TO 0.179,58000,63800
DIAMAQVVS - VSEFBELOW01CT,Diamond,Marquise,VVS_VS,EF,BELOW01CT,58000,63800
DIAPEAVVS - VSFGH0.000 TO 0.056 (I),Diamond,Pear,VVS_VS,FG,0.000 TO 0.056,58000,63800
DIAFANVS-SIIJ0.135 TO 0.175 (IV),Diamond,Fancy,VS_SI,IJ,0.135 to 0.175 (IV),58000,63800
DIAMAQVVS-VSGH0.085 TO 0.134 (III),Diamond,Marquise,VVS_VS,GH,0.085 TO 0.134 (III),64000,70400
DIAFANVS-SIFGH0.000 TO 0.056,Diamond,Fancy,VS_SI,FGH,0.000 TO 0.056,58000,63800
DIABAGVS - SIFG0.000 TO 0.056,Diamond,Baguette,VS_SI,FG,0.000 TO 0.056,58000,63800
DIAFANVS  SIIJ0.13 TO 0.175,Diamond,Fancy,VS  SI,IJ,0.13 TO 0.175,58000,63800
DIAMRQVSFGMIX,Diamond,Marquise,VS,FG,Mix,58000,63800
DIAPEAMIXFGMIX,Diamond,Pear,Mix,FG,Mix,58000,63800
DIAPEAVS - SIEF01.01-2CT,Diamond,Pear,VS_SI,EF,01.01_2CT,59500,65450
DIAPEAVS-SIIJ0.13 TO 0.175 (IV),Diamond,Pear,VS_SI,IJ,0.13 TO 0.175 (IV),58000,63800
DIAPEAVS-SIIJ0.13 TO 0.179,Diamond,Pear,VS_SI,IJ,0.13 TO 0.179,58000,63800
DIAPEAVVS - VSFGMIX,Diamond,Pear,VVS_VS,FG,Mix,58000,63800
DIAPEAVVS - VSGH0.000 TO 0.056 (I),Diamond,Pear,VVS_VS,GH,0.000 TO 0.056,58000,63800
DIAPEAVVS-VSFG0.000 TO 0.056,Diamond,Pear,VVS_VS,FG,0.000 TO 0.056,58000,63800
DIAPEAVVS-VSFGMIX,Diamond,Pear,VVS_VS,FG,Mix,82000,90200
DIARNDVS-SIIJ  0.085 TO 0.0125(III),Diamond,Round,VS_SI,IJ,0.085 TO 0.0125,58000,63800
DIARNDVS-SIIJ0.135 TO 0.175 (IV),Diamond,Round,VS_SI,IJ,0.135 to 0.175 (IV),58000,63800
DIAPEAMIXEFMIX,Diamond,Pear,Mix,EF,Mix,58000,63800
DIAPEASI3FGH0.000 to 0.056,Diamond,Pear,SI3,FGH,0.000 TO 0.056,58000,63800
DIAPRIVS - SIEF0.13 TO 0.175 (IV),Diamond,Princess,VS_SI,EF,0.13 TO 0.175 (IV),58000,63800
DIAPEAVSFG01 CT,Diamond,Pear,VS,FG,01 CT,68000,74800
DIAPEAMIXIJ0.13 TO 0.175(IV),Diamond,Pear,Mix,IJ,0.13 TO 0.175(IV),58000,63800
DIAPEAVSFG0.000 TO 0.056 (I),Diamond,Pear,VS,FG,0.000 TO 0.056 (I),60000,66000
DIAMAQVS - SIEF0.13 TO 0.175 (IV),Diamond,Marquise,VS_SI,EF,0.13 TO 0.175 (IV),60000,66000
DIAPEAVVS-VSGH0.075 TO 0.084 (II),Diamond,Pear,VVS_VS,GH,0.075 TO 0.08,58000,63800
DIAPEAVSEFMIX,Diamond,Pear,VS,EF,Mix,58000,63800
DIAPEAVS - SIEF0.13 TO 0.175(IV),Diamond,Pear,VS_SI,EF,0.13 TO 0.175(IV),58000,63800
DIAPEAVVSFG0.000 TO 0.056 (I),Diamond,Pear,VVS,FG,0.000 TO 0.056 (I),68000,74800
DIAPEAVVSFG0.13 TO 0.175,Diamond,Pear,VVS,FG,0.13 TO 0.175,58000,63800
DIAPRIVVSEF0.18 TO 0.22 (V),Diamond,Princess,VVS,EF,0.18 TO 0.22 (V),105000,115500
DIAPRIVVSFGH0.085 TO 0.129,Diamond,Princess,VVS,FGH,0.085 TO 0.129,58000,63800
DIAPRIVVSFGH0.075 TO 0.084,Diamond,Princess,VVS,FGH,0.075 TO 0.084,58000,63800
DIAPEAVVS-VSIJ0.085 TO 0.129,Diamond,Pear,VVS_VS,IJ,0.085 TO 0.129,58000,63800
DIARNDVS  SIIJ0.075 TO 0.080(II),Diamond,Round,VS_SI,IJ,0.075 TO 0.080(II),58000,63800
DIAPEAVVS - VSGH0.13 TO 0.175(IV),Diamond,Pear,VVS_VS,GH,0.13 TO 0.175(IV),59000,64900
PEAPEAVVSEFMIX,Diamond,Pear,VVS,EF,Mix,59500,65450
DIAPRIVVSEF0.085 TO 0.125,Diamond,Princess,VVS,EF, 0.085 TO 0.125,59500,65450
DIARNDVVSEF0.230 TO 0.290,Diamond,Round,VVS,EF,0.230 TO 0.290,130000,143000
DIASLT2.VVS1EMIX,Solitaire Diamond,Mix,VVS1,E,Mix,59500,65450
SLTFANVS-SIGH0.30 TO 0.39,Solitaire Diamond,Fancy,VS_SI,GH,0.30 TO 0.39,59500,65450
SLTHRTIFE0.50 TO 0.69 (IX),Solitaire Diamond,Heart,IF,E,0.50 TO 0.69 (IX),59500,65450
DIAPRIPRIVVS1EF 0.70 TO 0.99,Diamond,Princess,VVS1,EF,0.70 TO 0.99,59500,65450
DIARND-FM-0.18TO0.22RNDVVSEF  0.180 TO 0.220(V),Forevermark Diamond,Round,VVS,EF,0.180 TO 0.220(V),59500,65450
DIAMIXMIXMIXMIX,Diamond,Mix,Mix,Mix,Mix,59500,65450
DIAMRQMIXGHMIX,Diamond,Marquise,Mix,GH,Mix,59500,65450
DIARVVSEFEWD1,Diamond,Round,VVS,EF,2,59500,65450
DIAMIXVVSEFMIX,Diamond,Mix,VVS,EF,Mix,59500,65450
MELERNDVVSEF0.057 TO 0.074 (I),Diamond,Round,VVS,EF,0.057 TO 0.074(I),59500,65450
DIAPRIMIXEFMIX,Diamond,Princess,Mix,EF,Mix,59500,65450
DIARNDVVS - VSEFBELOW01CT,Diamond,Round,VVS_VS,EF,BELOW01CT,59500,65450
DIARNDVVS - VSEF12.01-15CT,Diamond,Round,VVS_VS,EF,12.01_15CT,59500,65450
DIAMELEVVSEF0.057 to 0.075 (I),Diamond,Mix,VVS,EF,0.057 to 0.075 (I),59500,65450
DIAMLEVVSEF0.000 TO 0.056 (I),Diamond,Mix,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIARNDVVSEF01.01-2CT,Diamond,Round,VVS,EF,01.01_2CT,59500,65450
DIARNDVVSEF09.01-10CT,Diamond,Round,VVS,EF,09.01_10CT,59500,65450
DIARNDVVSEF23.01-26CT,Diamond,Round,VVS,EF,23.01_26CT,59500,65450
MELERNDVVSEFMIX,Diamond,Mix,VVS,EF,Mix,59500,65450
DIARNDVVSEF0.075 TO 0.080,Diamond,Round,VVS,EF,0.075 TO 0.080,59500,65450
DIABAGVVSEF0.000 TO 0.056,Diamond,Baguette,VVS,EF,0.000 TO 0.056,59500,65450
DIARNDVVSEF04.01-5CT,Diamond,Round,VVS,EF,04.01_5CT,59500,65450
DIARNDVVSEF04.01 - 5 CT,Diamond,Round,VVS,EF,04.01 _ 5 CT,59500,65450
DIARNDVVSEF20.01 - 23 CT,Diamond,Round,VVS,EF,20.01 _ 23 CT,59500,65450
DIARNDVVSEF23.01 - 26 CT,Diamond,Round,VVS,EF,23.01 _ 26 CT,59500,65450
DIARNDVVSEF10.01-12CT,Diamond,Round,VVS,EF,10.01_12CT,59500,65450
DIABAGMIXEFMIX,Diamond,Baguette,Mix,EF,Mix,59500,65450
DIARNDVSGH0.000 TO 0.056 (I),Diamond,Round,VS,GH,0.000 TO 0.056 (I),54000,59400
DIARNDVVSFG0.000 TO 0.056 (I),Diamond,Round,VVS,FG,0.000 TO 0.056 (I),54000,59400
DIABAGVVSFG0.000 TO 0.056,Diamond,Baguette,VVS,FG,0.000 TO 0.056,59500,65450
DIABAGIF-VVSEF0.000 TO 0.056,Diamond,Baguette,VVS,EF,0.000 TO 0.056,59500,65450
DIABAGVVSEF0.000 TO 0.056 (I),Diamond,Baguette,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIABAGVVSEF0.000 TO 0.056(I),Diamond,Baguette,VVS,EF,0.000 TO 0.056(I),59500,65450
DIABAGVVSEFMIX,Diamond,Baguette,VVS,EF,Mix,59500,65450
DIAMAQMIXEFMIX,Diamond,Marquise,Mix,EF,Mix,59500,65450
DIAMAQVVSEF0.000 TO 0.056 (I),Diamond,Marquise,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIAMAQVVSEF0.000 TO 0.056(I),Diamond,Marquise,VVS,EF,0.000 TO 0.056(I),59500,65450
DIAMAQVVSEF0.001 TO 0.056,Diamond,Marquise,VVS,EF,0.001 TO 0.056,59500,65450
DIAMAQVVSEFMIX,Diamond,Marquise,VVS,EF,Mix,59500,65450
DIAMELEVVSEF,Diamond,Mix,VVS,EF,Mix,59500,65450
DIAMELVSEF0.000 TO 0.056 (I),Diamond,Mix,VS,EF,0.000 TO 0.056 (I),59500,65450
DIAMELVSEF0.057 TO 0.074,Diamond,Mix,VS,EF,0.057 TO 0.074,59500,65450
DIAMELVVSEF0.057 TO 0.74,Diamond,Mix,VV,EF,0.057 TO 0.74,59500,65450
DIAMLEVVSEF0.057 TO 0.074,Diamond,Mix,VVS,EF,0.057 TO 0.074,59500,65450
DIAMLEVVSEF0.057 to 0.074(I),Diamond,Mix,VVS,EF,0.057 TO 0.074,59500,65450
DIAMLIVVSEF00.06 TO 00.07,Diamond,Mix,VVS,EF,00.06 TO 00.07,59500,65450
DIAPEAIJ-VSEF0.000 TO 0.056 (I),Diamond,Pear,VS_IJ,EF,0.000 TO 0.056,59500,65450
DIAPEAVS - SIEF02.01-3CT,Diamond,Pear,VS_SI,EF,02.01_3CT,59500,65450
DIAPEAVS  SIEFMIX,Diamond,Pear,VS  SI,EF,Mix,59500,65450
DIAPEAVVSEF0.000 TO 0.056 (I),Diamond,Pear,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIAPEAVVSEF0.000 TO 0.056(I),Diamond,Pear,VVS,EF,0.000 TO 0.056(I),59500,65450
DIAPEAVVSEFBELOW01CT,Diamond,Pear,VVS,EF,BELOW01CT,59500,65450
DIAPEAVVSEFMIX,Diamond,Pear,VVS,EF,Mix,59500,65450
DIAPRIFEFBELOW01CT,Diamond,Princess,Mix,EF,BELOW01CT,59500,65450
DIAPRIVVSEF0.000 to 0.056 (I),Diamond,Princess,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIAPRIVVSEF0.000 TO 0.056(I),Diamond,Princess,VVS,EF,0.000 TO 0.056(I),59500,65450
DIAPRIVVSEFBELOW01CT,Diamond,Princess,VVS,EF,BELOW01CT,59500,65450
DIARNDIFF0.000 TO 0.056(I),Diamond,Round,IF,F,0.000 TO 0.056(I),59500,65450
DIARNDMIXMIXMIX,Diamond,Round,Mix,Mix,Mix,59500,65450
DIARNDVSEF0.000 TO 0.056 (I),Diamond,Round,VS,EF,0.000 TO 0.056 (I),59500,65450
DIARNDVS-SIHI0.000 TO 0.056 (I),Diamond,Round,VS_SI,HI,0.000 TO 0.056,40000,44000
DIARNDVVS0.000 TO 0.056 (I)EF,Diamond,Round,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIARNDVVS1F0.000 TO 0.056(I),Diamond,Round,VVS1,F,0.000 TO 0.056(I),59500,65450
DIARNDVVSEF0.00 TO 0.056,Diamond,Round,VVS,EF,0.00 TO 0.056,59500,65450
DIARNDVVSEF0.000 TO 0.056 (I),Diamond,Round,VVS,EF,0.000 TO 0.056 (I),59500,65450
DIARNDVVSEF0.000 TO 0.056 b,Diamond,Round,VVS,EF,0.000 TO 0.056 A,59500,65450
DIARNDVVSEF0.001 to 0.056 (I),Diamond,Round,VVS,EF,0.001 TO 0.056 (I),59500,65450
DIARNDVVSEF0.057 TO 0.074 (I),Diamond,Round,VVS,EF,0.057 TO 0.074 (I),59500,65450
DIARNDVVSEF01.01- 2 CT,Diamond,Round,VVS,EF,01.01_ 2 CT,59500,65450
DIARNDVVSEF02.01 - 3 CT,Diamond,Round,VVS,EF,02.01 _ 3 CT,59500,65450
DIARNDVVSEF03.01-4CT,Diamond,Round,VVS,EF,03.01_4CT,59500,65450
DIARNDVVSEF06.01-7CT,Diamond,Round,VVS,EF,06.01_7CT,59500,65450
DIARNDVVSEF07.01-8CT,Diamond,Round,VVS,EF,07.01_8CT,59500,65450
DIARNDVVSEF08.01-9CT,Diamond,Round,VVS,EF,08.01_9CT,59500,65450
DIARNDVVSEF1,Diamond,Round,VVS,EF,1,59500,65450
DIARNDVVSEF12.01-15CT,Diamond,Round,VVS,EF,12.01_15CT,59500,65450
DIARNDVVSEF15.01-17CT,Diamond,Round,VVS,EF,15.01_17CT,59500,65450
DIARNDVVSEF17.01 - 20 CT,Diamond,Round,VVS,EF,17.01 _ 20 CT,59500,65450
DIARNDVVSEF26.01-30CT,Diamond,Round,VVS,EF,26.01_30CT,59500,65450
DIARNDVVSEF35.01-40CT,Diamond,Round,VVS,EF,35.01_40CT,59500,65450
DIARNDVVSEF4.01,Diamond,Round,VVS,EF,4,59500,65450
DIARNDVVSEF-8.01,Diamond,Round,VVS,EF,8,59500,65450
DIARNDVVSEFABOVE-40CT,Diamond,Round,VVS,EF,ABOVE_40CT,59500,65450
DIARNDVVSEFBELOW01CT,Diamond,Round,VVS,EF,BELOW01CT,59500,65450
DIARNDVVSEFG0.000 TO 0.056(I),Diamond,Round,VVS,EFG,0.000 TO 0.056(I),59500,65450
DIARNDVVS-VSEF0.000 TO 0.056,Diamond,Round,VVS_VS,EF,0.000 TO 0.056,59500,65450
DIARNDVVSWHITE  0.50 TO 0.69(IX),Diamond,Round,VVS,WHITE,  0.50 TO 0.69(IX),59500,65450
DIARNFVVSEF,Diamond,Round,VVS,Mix,Mix,59500,65450
MELERNDVVSEF0.057 TO 0.074,Diamond,Round,VVS,EF,0.057 TO 0.074,59500,65450
MeleRNDVVSEF01.01-2CT,Diamond,Round,VVS,EF,01.01_2CT,59500,65450
MeleRNDVVSEFBELOW 01 CT,Diamond,Mix,VVS,EF,BELOW 01 CT,59500,65450
RNDRNDVVSMIXMIX,Diamond,Round,VVS,Mix,Mix,59500,65450
DIAMAQVVS - VSFGMIX,Diamond,Marquise,VVS_VS,FG,Mix,64000,70400
DIAMAQVVS-VSEF0.000 TO 0.056,Diamond,Marquise,VVS_VS,EF,0.000 TO 0.056,59500,65450
DIARNDEFEFVVS,Diamond,Round,VVS,EF,Mix,59500,65450
DIABAGVVSFGH0.000 TO 0.056,Diamond,Baguette,VVS,FGH,0.000 TO 0.056,59500,65450
DIAMAQVVSEF0.000 TO 0.056,Diamond,Marquise,VVS,EF,0.000 TO 0.056,59500,65450
DIAPRIVVSEF0.000 TO 0.056,Diamond,Princess,VVS,EF,0.000 TO 0.056,59500,65450
DIARNDVVSEF0.000 TO 0.026(I),Diamond,Round,VVS,EF,0.000 TO 0.026(I),59500,65450
DIARNDVVSEF0.000 TO 0.056,Diamond,Round,VVS,EF,0.000 TO 0.056,59500,65450
DIARNDVVSEF01 CT,Diamond,Round,VVS,EF,01 CT,59500,65450
DIARNDMIXEFMIX,Diamond,Round,Mix,EF,Mix,59500,65450
DIAPRIVVSEF01.01-2CT,Diamond,Princess,VVS,EF,01.01_2CT,59500,65450
DIARNDVVSEF0.001 TO 0.056,Diamond,Round,VVS,EF,0.001 TO 0.056,59500,65450
DIARNDVVSEF0.000 5O 0.056(I),Diamond,Round,VVS,EF,0.000 5O 0.056(I),59500,65450
DIARNDIFEFBELOW 01 CT,Diamond,Round,IF,EF,BELOW 01 CT,59500,65450
DIARNDVVS-VSGH0.085 TO 0.125,Diamond,Round,VVS_VS,GH,0.085 TO 0.125,72000,79200
DIAPEAVVSEF0.000 TO 0.056,Diamond,Pear,VVS,EF,0.000 TO 0.056,59500,65450
DIAMAQVVSEF0.000 TO 0.56(I),Diamond,Marquise,VVS,EF,0.000 TO 0.56(I),65000,71500
FMRRNDVVSEF0.000 TO 0.056,Diamond,Round,VVS,EF,0.000 TO 0.056,59500,65450
DIARNDVVS-VSGH0.075 TO 0.084,Diamond,Round,VVS_VS,GH,0.075 TO 0.08,68000,74800
DIARNDVVSEFRNDVVSEFMIX,Diamond,Round,VVS,EF,Mix,59500,65450
DIAMELVVSEF0.057 TO 0.074 (I),Diamond,Round,VVS,EF,(I),59500,65450
DIARNDVVSEF07.01 - 8 CT,Diamond,Round,VVS,EF,07.01 _ 8 CT,59500,65450
DIARNDVVSEF26.01 - 30 CT,Diamond,Round,VVS,EF,26.01 _ 30 CT,59500,65450
DIAPEAVVS - VSGH0.075 TO 0.08,Diamond,Pear,VVS_VS,GH,0.075 TO 0.08,60000,66000
DIARNDVVS - VSFG0.000 TO 0.056(I),Diamond,Round,VVS_VS,FG,0.000 TO 0.056,54000,59400
DIAPEAVVS-VSGH0.075 TO 0.08,Diamond,Pear,VVS_VS,GH,0.075 TO 0.08,54000,59400
DIAFANVVSEF0.075 TO 0.080 (LL),Diamond,Fancy,VVS,EF,0.075 TO 0.080 (LL),60000,66000
DIAPEAVSFGH0.000 TO 0.056,Diamond,Pear,VS,FGH,0.000 TO 0.056,58000,63800
DIAPEAVS-SIFGH0.000 TO 0.056,Diamond,Pear,VS_SI,FGH,0.000 TO 0.056,56000,61600
DIAMAQVS-SIIJ0.13 TO 0.175,Diamond,Marquise,VS_SI,IJ,0.13 TO 0.175,58000,63800
DIAFANVS-SIIJ0.135 TO 0.175(IV),Diamond,Fancy,VS_SI,IJ,0.135 TO 0.175(IV),60000,66000
DIARNDVVS - VSFG0.000 TO 0.056,Diamond,Round,VVS_VS,FG,0.000 TO 0.056,60000,66000
DIAFANVS-SIIJ0.13 TO 0.179,Diamond,Fancy,VS_SI,IJ,0.13 TO 0.179,60000,66000
DIAPRIVSFGH  0.075 TO 0.08 (II),Diamond,Princess,VS,FGH,  0.075 TO 0.08 (II),60000,66000
DIAFANVVS-VS/VVSEF0.135 TO 0.175 (IV),Diamond,Fancy,VVS,EF,0.135 to 0.175 (IV),60000,66000
DIAMAQVSFGH0.000 to 0.056 (I),Diamond,Marquise,VS,FGH,0.000 TO 0.056 (I),60000,66000
DIAMAQVSGH0.057 TO 0.074,Diamond,Marquise,VS,GH,0.057 TO 0.074,60000,66000
DIAPEAVS-SIIJ0.13 TO 0.175(IV),Diamond,Pear,VS_SI,IJ,0.13 TO 0.175(IV),60000,66000
DIAFANVVS - VSEF0.075 TO 0.080 (LL),Diamond,Fancy,VVS_VS,EF,0.075 TO 0.08,60000,66000
DIAPEAMIXEF0.13 TO 0.175(IV),Diamond,Pear,Mix,EF,0.13 TO 0.175(IV),64000,70400
DIAPEAVVSGH0.000 TO 0.056,Diamond,Pear,VVS,GH,0.000 TO 0.056,65000,71500
DIARNDMIXMIX0.000 TO 0.056,Diamond,Round,Mix,Mix,0.000 TO 0.056,25000,27500
DIAPEAVVS-VSFGH0.000 TO 0.056 (I),Diamond,Pear,VVS_VS,FG,0.000 TO 0.056,60000,66000
DIAPRIVVS-VSFGH0.085 TO 0.129,Diamond,Princess,VVS_VS,FG,0.085 TO 0.129,60000,66000
DIAMAQVSFG0.000 TO 0.056 (I),Diamond,Marquise,VS,FG,0.000 TO 0.056 (I),60000,66000
DIAPEAVS  SIIJ0.13 TO 0.175 (IV),Diamond,Pear,VS  SI,IJ,0.13 TO 0.175 (IV),60000,66000
DIARNDVVS-VSFG0.000 TO 0.056,Diamond,Round,VVS_VS,FG,0.000 TO 0.056,60000,66000
CLRDIARNDVS-SIIJ0.085 TO 0.125 (II),Diamond,Round,VS_SI,IJ,0.085 TO 0.125,60000,66000
DIABAGVVSIJ0.13 TO 0.175,Diamond,Baguette,VVS,IJ,0.13 TO 0.175,60000,66000
DIAFANMIXMIX0.085 TO 0.125,Diamond,Fancy,Mix,Mix,0.085 to 0.125,60000,66000
DIAFANVSFGH0.000 to 0.056 (I),Diamond,Fancy,VS,FGH,0.000 TO 0.056 (I),60000,66000
DIAFNYVS  SIIJ0.135 TO 0.175 (IV),Diamond,Fancy,VS  SI,IJ,0.135 TO 0.175 (IV),60000,66000
DIAFNYVSGH0.000 TO 0.056 (I),Diamond,Fancy,VS,GH,0.000 TO 0.056 (I),60000,66000
DIAFNYVVS-VSFG0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FG,0.000 TO 0.056,60000,66000
DIAMAQVS-SIFG0.000 TO 0.056,Diamond,Marquise,VS_SI,FG,0.000 TO 0.056,60000,66000
DIAMAQVS-SIFGH0.000 to 0.056 (I),Diamond,Marquise,VS_SI,FGH,0.000 TO 0.056,60000,66000
DIAMAQVSVFGH0.000 TO 0.056 (I),Diamond,Marquise,VVS,FGH,0.000 TO 0.056 (I),60000,66000
DIAMLEVVS - VSHI0.057 TO 0.074,Diamond,Round,VVS_VS,HI,0.057 TO 0.074,60000,66000
DIAMRQVS - SIFG0.000 TO 0.056 (I),Diamond,Marquise,VS_SI,FG,0.000 TO 0.056,60000,66000
DIAMRQVS  SIFG0.085 TO 0.125,Diamond,Marquise,VS  SI,FG,0.085 TO 0.125,60000,66000
DIAMRQVSFG0.000 TO 0.056 (I),Diamond,Marquise,VS,FG,0.000 TO 0.056 (I),60000,66000
DIAMRQVSGH0.000 TO 0.056 (I),Diamond,Marquise,VS,GH,0.000 TO 0.056 (I),60000,66000
DIAPEAVS  SIFG0.075 TO 0.08,Diamond,Pear,VS  SI,FG,0.075 TO 0.08,60000,66000
DIAPEAVS - SIIJ0.13 TO 0.175 (IV),Diamond,Pear,VS_SI,IJ,0.13 TO 0.175 (IV),60000,66000
DIAPEAVS  SIIJ0.13 TO 0.179,Diamond,Pear,VS_SI,IJ,0.13 TO 0.179,60000,66000
DIAPEAVVS - VSEF01.01-2CT,Diamond,Pear,VVS_VS,EF,01.01_2CT,60000,66000
DIAPEAVVS-VSGH0.075 TO 0.080,Diamond,Pear,VVS_VS,GH,0.075 TO 0.08,60000,66000
DIAPRIVVS-VSFGH0.085 TO 0.125 (III),Diamond,Princess,VVS_VS,FG,0.085 TO 0.125 (III),60000,66000
DIAMAQVVS-VSFGMIX,Diamond,Marquise,VVS_VS,FG,Mix,68000,74800
DIAMAQVVS-VSGH0.075 TO 0.08,Diamond,Marquise,VVS_VS,GH,0.075 TO 0.08,60000,66000
DIAMAQVVS-VSGH0.000 TO 0.056(I),Diamond,Marquise,VVS_VS,GH,0.000 TO 0.056,60000,66000
DIAFNYVSFG0.000 TO 0.056,Diamond,Fancy,VS,FG,0.000 TO 0.056,60000,66000
DIAMAQVSFGH0.000 TO 0.056,Diamond,Marquise,VS,FGH,0.000 TO 0.056,60000,66000
DIAMAQVSGH0.000 TO 0.056,Diamond,Marquise,VS,GH,0.000 TO 0.056,60000,66000
DIAFANVS-SIIJ0.13 to 0.175,Diamond,Fancy,VS_SI,IJ,0.13 TO 0.175,60000,66000
DIAPEAVS-SIFGH0.085 TO 0.134 (III),Diamond,Pear,VS_SI,FGH,0.085 TO 0.134 (III),68000,74800
DIAMRQVVS - VSGH0.085 TO 0.125,Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125,60000,66000
DIARNDIFEF  0.085 TO 0.0125(III),Diamond,Round,IF,EF,  0.085 TO 0.0125(III),78000,85800
DIABAGVVS-VSFG0.000 TO 0.056,Diamond,Baguette,VVS_VS,FG,0.000 TO 0.056,60000,66000
DIAPEAIJ-VSIJ0.13 TO 0.175 (IV),Diamond,Pear,VS_IJ,IJ,0.13 TO 0.175 (IV),60000,66000
DIAMAQVVS-VSFGH0.000 TO 0.056,Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056,60000,66000
DIAMAQVSFG0.000 TO 0.056,Diamond,Marquise,VS,FG,0.000 TO 0.056,64000,70400
DIAPRIVS-SIFGH0.13 TO 0.175,Diamond,Princess,VS_SI,FGH,0.13 TO 0.175,60000,66000
DIARNDVVS-VSGH0.085 TO 0.125 (III),Diamond,Round,VVS_VS,GH,0.085 TO 0.125 (III),60000,66000
DIAMAQVS-SIFGH0.085 TO 0.125,Diamond,Marquise,VS_SI,FGH,0.085 TO 0.125,68000,74800
DIAMAQVVSFG0.000 TO 0.056 (I),Diamond,Marquise,VVS,FG,0.000 TO 0.056 (I),74000,81400
DIAMAQVVSGH0.085 TO 0.125,Diamond,Marquise,VVS,GH,0.085 TO 0.125,75000,82500
DIAPEAVS-SIIJ0.135 TO 0.175(IV),Diamond,Pear,VS_SI,IJ,0.135 TO 0.175(IV),60000,66000
DIAFANVS-SIFGH0.000 TO 0.056(I),Diamond,Fancy,VS_SI,FGH,0.000 TO 0.056,60000,66000
DIAFANVSFGH0.075-0.084(II),Diamond,Fancy,VS,FGH,0.075_0.084(II),60000,66000
DIAPEAVSFGHMIX,Diamond,Pear,VS,FGH,Mix,56000,61600
DIAMAQVVS-VSIJ0.085 TO 0.129,Diamond,Marquise,VVS_VS,IJ,0.085 TO 0.129,60000,66000
DIAPEASIHI0.085 TO 0.125 (III),Diamond,Pear,SI,HI,0.085 TO 0.125 (III),60000,66000
DIAMAQVSGHI0.000 TO 0.056,Diamond,Marquise,VS,GHI,0.000 TO 0.056,60000,66000
DIAPRIVSEF0.085 TO 0.125 (III),Diamond,Princess,VS,EF,0.085 TO 0.125 (III),60000,66000
DIAMAQVVS - VSGH0.000 TO 0.056,Diamond,Marquise,VVS_VS,GH,0.000 TO 0.056,62000,68200
DIAPEAVVSEF0.085 TO 0.125 (III),Diamond,Pear,VVS,EF,0.085 TO 0.125 (III),62000,68200
DIAPEAVS  SIIJ 0.18 TO 0.22,Diamond,Pear,VS_SI,IJ,0.18 TO 0.22,62000,68200
DIAPEAVSGH  0.18 TO 0.22 (V),Diamond,Pear,VS,GH,0.18 TO 0.22 (V),62000,68200
DIAPEAVS-SIHI  0.23 TO 0.29 (VI),Diamond,Pear,VS_SI,HI,0.23 TO 0.29,62000,68200
DIAPRIVVS - VSGH0.085 TO 0.125 (III),Diamond,Princess,VVS_VS,GH,0.085 TO 0.125 (III),62000,68200
DIAFANVVS-VSFG0.000 TO 0.056,Diamond,Fancy,VVS_VS,FG,0.000 TO 0.056,62000,68200
DIAMAQVS-SIIJ0.18 TO 0.22,Diamond,Marquise,VS_SI,IJ,0.18 TO 0.22,62000,68200
DIAPEAVS  SIIJ  0.18 TO 0.22 (V),Diamond,Pear,VS  SI,IJ,  0.18 TO 0.22 (V),62000,68200
DIAPRIVVSFG0.000 TO 0.056,Diamond,Princess,VVS,FG,0.000 TO 0.056,62000,68200
DIAMAQVSEF0.18 TO 0.22 (V),Diamond,Marquise,VS,EF,0.18 TO 0.22 (V),62000,68200
DIAMAQVVSGH0.000 TO 0.056,Diamond,Marquise,VVS,GH,0.000 TO 0.056,60000,66000
DIAPEAVS - SIIJ  0.18 TO 0.22 (V),Diamond,Pear,VS_SI,IJ,0.18 TO 0.22 (V),62000,68200
DIAMAQVVS-VSFGH0.075 to 0.084,Diamond,Marquise,VVS_VS,FGH,0.075 TO 0.084,62000,68200
