stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
SLTRNDVVS0.40 TO 0.49EF,Solitaire Diamond,Round,VVS,EF, 0.40 TO 0.49,0,0
SLTRNDVVS1D  0.30 TO 0.39(VII),Solitaire Diamond,Round,VVS1,D,  0.30 TO 0.39(VII),0,0
SLTRNDVVS1D0.30 TO 0.39(VII),Solitaire Diamond,Round,VVS 1 ,D,0.30 TO 0.39(VII),0,0
SLTRNDVVS1D0.40 TO 0.49,Solitaire Diamond,Round,VVS1,D, 0.40 TO 0.49,0,0
SLTRNDVVS1D0.50 TO 0.69(IX),Solitaire Diamond,Round,VVS1,D,0.50 TO 0.69(IX),0,0
SLTRNDVVS1E  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VVS1,E,  1.00 TO 1.49 (XI),0,0
SLTRNDVVS1E0.30 TO 0.39,Solitaire Diamond,Round,VVS1,E,0.30 TO 0.39,0,0
SLTRNDVVS1E0.30 TO 0.39 (VII),Solitaire Diamond,Round,VVS1,E,0.30 TO 0.39 (VII),0,0
SLTRNDVVS1E0.30 TO 0.39(VII),Solitaire Diamond,Round,VVS1,E,0.30 TO 0.39(VII),0,0
SLTRNDVVS1E0.40 TO 0.49 (VIII),Solitaire Diamond,Round,VVS1,E,0.40 TO 0.49 (VIII),0,0
SLTRNDVVS1E0.40 TO 0.49(VIII),Solitaire Diamond,Round,VVS1,E,0.40 TO 0.49(VIII),0,0
SLTRNDVVS1E0.50 TO 0.69 (IX),Solitaire Diamond,Round,VVS1,E,0.50 TO 0.69 (IX),0,0
SLTRNDVVS1E0.50 TO 0.69(IX),Solitaire Diamond,Round,VVS1,E,0.50 TO 0.69(IX),0,0
SLTRNDVVS1E0.70 TO 0.99,Solitaire Diamond,Round,VVS1,E,0.70 TO 0.99,0,0
SLTRNDVVS1E1.49 TO 1.99 (XII),Solitaire Diamond,Round,VVS1,E,1.49 TO 1.99 (XII),0,0
SLTRNDVVS1EF  0.50 TO 0.69(IX),Solitaire Diamond,Round,VVS1,EF,  0.50 TO 0.69(IX),0,0
SLTRNDVVS1EF0.30 TO 0.39 (VII),Solitaire Diamond,Round,VVS1,EF,0.30 TO 0.39 (VII),0,0
SLTRNDVVS1F  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VVS1,F,  1.00 TO 1.49 (XI),0,0
SLTRNDVVS1F0.40 TO 0.49 (VIII),Solitaire Diamond,Round,VVS1,F,0.40 TO 0.49 (VIII),0,0
SLTRNDVVS1F0.40 TO 0.49(VIII),Solitaire Diamond,Round,VVS1,F,0.40 TO 0.49(VIII),0,0
SLTRNDVVS1F0.50 TO 0.69,Solitaire Diamond,Round,VVS1,F,0.50 TO 0.69,0,0
SLTRNDVVS2F  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VVS2,F,  1.00 TO 1.49 (XI),0,0
SLTRNDVVS2G0.30 TO 0.39,Solitaire Diamond,Round,VVS2,G,0.30 TO 0.39,0,0
SLTRNDVVSEF  0.30 TO 0.39(VII),Solitaire Diamond,Round,VVS,EF,  0.30 TO 0.39(VII),0,0
SLTRNDVVSEF  0.70 TO 0.99(X),Solitaire Diamond,Round,VVS,EF,  0.70 TO 0.99(X),0,0
SLTRNDVVSEF0.30 TO 0.39,Solitaire Diamond,Round,VVS,EF,0.30 TO 0.39,0,0
SLTRNDVVSEF0.30 TO 0.39 (VII),Solitaire Diamond,Round,VVS,EF,0.30 TO 0.39 (VII),0,0
SLTRNDVVSEF0.40 TO 0.49(VIII),Solitaire Diamond,Round,VVS,EF,0.40 TO 0.49(VIII),0,0
SLTRNDVVSEF0.50 TO 0.69(IX),Solitaire Diamond,Round,VVS,EF,0.50 TO 0.69(IX),0,0
SLTRNDVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Round,VVS_VS,GH,0.30 TO 0.39,0,0
SLTRNDVVS-VSGH0.40 TO 0.49,Solitaire Diamond,Round,VVS_VS,GH,0.40 TO 0.49,0,0
SLTPEAVS-SIGH0.30 TO 0.39,Solitaire Diamond,Pear,VS_SI,GH,0.30 TO 0.39,0,0
SLTRNDVS1H  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VS 1,H,1.00 TO 1.49 (XI),0,0
SLTRNDVVS1D  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VVS1,D,  1.00 TO 1.49 (XI),0,0
SLTRNDVVS1E0.70 TO 0.99 (X),Solitaire Diamond,Round,VVS1,E,0.70 TO 0.99 (X),0,0
SLTRNDVVS1H0.30 TO 0.39,Solitaire Diamond,Round,VVS1,H,0.30 TO 0.39,0,0
SLTRNDVVS1IAbove 2 Cts,Solitaire Diamond,Round,VVS1,I,Above 2 Cts,0,0
SLTRNDVVS2H  1.00 TO 1.49 (XI),Solitaire Diamond,Round,VVS 2,H,1.00 TO 1.49 (XI),0,0
SLTRNDVVS2I1.49 TO 1.99 (XII),Solitaire Diamond,Round,VVS2,I,1.49 TO 2.99 (XII),0,0
SLTRNDVVS2IAbove 2 Cts,Solitaire Diamond,Round,VVS2,I,Above 2 Cts,0,0
DIASLTVVSEFMIX,Solitaire Diamond,Mix,VVS,EF,Mix,0,0
SLTFMRVVSEF0.40 TO 0.49,Forevermark Solitaire,Mix,VVS,EF,0.40 TO 0.49,0,0
SLTRNDVVS1E1.00 TO 1.09,Solitaire Diamond,Round,VVS1,E,1.00 TO 1.09,0,0
